Date,jp_w_i_delta,uk_w_i_delta,au_w_i_delta,de_w_i_delta,ca_w_i_delta,nz_w_i_delta,usdjpy_w_delta,usdcad_w_delta,nzdusd_w_delta,gbpusd_w_delta,eurusd_w_delta,audusd_w_delta
23-Jun-13,0.04,-0.015,-0.036,0.01,0.004,-0.04,-2.06,-0.006,0.003,0.0323,0.0178,0.0071
16-Jun-13,-0.061,-0.36,-0.328,-0.227,-0.322,-0.37,-1.24,-0.006,0.001,0.0206,0.0113,0.0081
9-Jun-13,0.024,0.006,-0.146,0.033,0.025,-0.18,-3.82,-0.029,0.029,0.0287,0.0224,0.0349
2-Jun-13,0.02,-0.062,0.116,-0.035,-0.081,0.035,3.47,0.003,-0.016,-0.0147,-0.0124,-0.0073
26-May-13,-0.029,-0.116,-0.058,-0.08,-0.115,-0.105,2.93,0.018,0.005,-0.0359,-0.0224,0.0077
19-May-13,-0.029,-0.013,-0.144,-0.115,-0.026,-0.125,0.81,-0.006,0.016,-0.0072,-0.0067,0.0075
12-May-13,-0.113,0.014,0.066,0.07,-0.041,0.005,1.92,-0.004,-0.003,0.0044,-0.0093,0.0081
5-May-13,-0.13,-0.16,-0.19,-0.141,-0.114,-0.2,-1.6,-0.018,0.024,0.0194,0.0154,0.0295
28-Apr-13,0.027,-0.047,0.121,-0.036,-0.067,0.065,-2.58,-0.002,0.023,0.0208,0.0122,0.0296
21-Apr-13,-0.008,-0.019,0.029,0.043,0.007,0.035,-0.98,0.009,-0.005,-0.0094,-0.0086,-0.0039
14-Apr-13,0.034,0.065,0.109,0.007,0.028,0.1,1.47,0.01,-0.006,-0.0247,0.0023,-0.0005
7-Apr-13,-0.084,-0.098,0.009,-0.049,0.012,0.088,-1.12,-0.013,0.017,0.011,0.006,0.0232
31-Mar-13,0.021,0.129,0.107,0.072,0.123,0.055,-0.87,0.004,-0.016,-0.0007,-0.0121,-0.0131
24-Mar-13,0.011,0.088,0.147,0.096,-0.057,0.164,-3.31,0,-0.006,-0.0132,-0.0171,0.0043
17-Mar-13,0.055,0.088,0.06,0.074,0.079,0.118,0.3,0.006,-0.002,0.0028,0.0168,0.0025
10-Mar-13,0.04,0.123,-0.072,0.074,0.038,0.017,0.76,-0.004,-0.008,-0.0115,0.0088,-0.0035
3-Mar-13,-0.003,-0.18,-0.21,-0.113,-0.135,-0.092,0.75,0.009,-0.006,-0.0199,-0.007,-0.0176
24-Feb-13,0.072,0.228,0.183,0.155,0.144,0.162,-2.44,-0.002,0.003,0.0121,0.0015,-0.0031
17-Feb-13,0.024,0.086,0.024,0.091,0.073,0.025,-0.18,-0.005,0.013,0.0125,0.017,0.0118
10-Feb-13,0.01,-0.101,-0.082,-0.049,-0.062,-0.152,0.11,-0.015,0.007,0.0355,0.0172,-0.0015
3-Feb-13,0.007,-0.009,0.035,0.055,0.087,0.005,-0.83,-0.004,-0.009,0.028,0.0002,0.0015
27-Jan-13,-0.042,-0.029,-0.182,-0.027,-0.09,-0.172,0.03,-0.006,0.009,-0.0105,0.0275,0.0086
20-Jan-13,0.026,-0.039,0.087,-0.08,-0.031,-0.073,-1.8,0.009,-0.008,0.011,-0.0179,0.0017
13-Jan-13,0.066,0.065,0.07,0.026,0.023,0.018,-0.84,-0.014,0,0.0065,-0.0142,0.0088
6-Jan-13,0.011,0.046,-0.035,-0.039,-0.007,0.11,-0.9,-0.007,-0.001,0.0265,0.0025,0.0025
30-Dec-12,-0.031,-0.311,-0.112,-0.239,-0.167,-0.095,-1.03,0.002,-0.005,-0.0061,-0.0275,-0.0056
23-Dec-12,-0.037,0.073,-0.008,0.074,0.037,0.01,-2.13,0.01,-0.012,0.0099,0.0147,-0.0107
16-Dec-12,-0.032,-0.025,0.02,-0.025,-0.017,0.047,-1.79,-0.004,0.004,0.0002,-0.0028,0.0029
9-Dec-12,-0.027,-0.119,-0.218,-0.059,-0.08,-0.012,-0.75,-0.008,0.022,-0.0006,-0.0025,0.016
2-Dec-12,0.006,0.027,0.036,0.087,-0.009,-0.07,-1,0.003,-0.014,-0.0129,-0.0236,-0.0074
25-Nov-12,0.03,0.072,0.135,0.055,0.085,-0.005,0,0.006,-0.012,-0.0025,0.0059,-0.0061
18-Nov-12,-0.005,-0.127,-0.266,-0.12,-0.09,-0.115,-0.06,-0.001,0.004,0.002,-0.001,0.0034
11-Nov-12,0.002,0.012,0.075,0.026,0.019,0.065,-1.12,0.008,-0.011,-0.0147,-0.0232,-0.0119
4-Nov-12,0.044,0.133,0.07,0.108,0.055,0.065,-1.8,0,0.002,0.0011,-0.0035,0.0041
28-Oct-12,-0.015,0.01,0.083,0.092,0.066,0.052,0.97,-0.006,0.011,0.0128,0.0128,-0.0047
21-Oct-12,0.016,0.017,-0.058,0.058,0.01,0.033,-0.82,0.001,-0.002,0.008,0.0104,0.0038
14-Oct-12,-0.016,-0.162,-0.157,-0.143,-0.045,-0.1,-0.33,-0.003,-0.007,-0.01,0.0081,-0.0044
7-Oct-12,0.01,0.051,0.007,0.069,0.006,-0.013,-0.88,-0.014,0.001,0.0067,-0.0071,-0.0098
30-Sep-12,-0.005,-0.064,-0.014,-0.094,-0.079,-0.045,0.23,-0.001,0.001,0.0065,0.0083,-0.0046
23-Sep-12,0.029,0.123,0.27,0.164,0.121,0.168,-0.75,0.005,0.012,0.0029,-0.0176,0.0193
16-Sep-12,0,0.128,-0.116,0.112,0.119,0.042,0.25,-0.007,-0.001,0.0062,0.0121,0.0079
9-Sep-12,0.02,-0.279,-0.095,-0.188,-0.114,-0.012,0.22,-0.005,0,-0.0011,0.0148,0.0093
2-Sep-12,-0.024,-0.213,-0.059,-0.182,-0.078,-0.168,-0.12,0.007,-0.016,-0.0211,-0.0311,-0.0166
26-Aug-12,0.013,0.065,0.152,0.027,0.054,0.208,0.12,0.008,-0.009,-0.014,-0.0239,-0.0063
19-Aug-12,0.026,0.128,0.183,0.122,0.116,0.1,0.28,0.006,0.008,-0.0054,-0.0065,0.0082
12-Aug-12,-0.035,-0.129,-0.228,-0.106,-0.164,-0.143,0.89,-0.003,-0.004,-0.0112,-0.0178,0.0015
5-Aug-12,-0.063,0.012,-0.107,0.025,-0.011,-0.112,-1.28,0.002,0.006,-0.0009,-0.0045,0.0158
29-Jul-12,0.009,-0.015,-0.185,-0.012,-0.024,-0.135,0.2,0.01,0.005,-0.0048,0.0098,-0.0007
22-Jul-12,-0.003,-0.051,-0.01,-0.229,-0.134,-0.058,-0.06,0.002,-0.01,0.0106,-0.0069,-0.0086
15-Jul-12,0.032,0.063,-0.053,0.092,0.024,-0.03,0.07,0.009,-0.01,-0.0128,-0.0161,-0.0106
8-Jul-12,0.032,0.051,0.22,0.071,0.052,0.208,0.73,0.002,-0.004,-0.0046,0.0094,-0.0148
1-Jul-12,0.03,0.133,0.073,0.249,0.048,-0.055,0.45,0.005,0.002,-0.0085,0.0037,-0.0017
24-Jun-12,-0.007,-0.009,-0.02,0.002,0.072,-0.025,0.14,-0.003,0.004,0.0219,0.0372,0.0027
17-Jun-12,0.02,-0.057,-0.068,-0.133,-0.086,-0.03,0.61,0.008,-0.011,-0.0119,-0.009,-0.0175
10-Jun-12,0.008,-0.025,0.068,-0.111,0.088,0.007,-1.7,-0.003,-0.003,0.0127,0.0068,0.0017
3-Jun-12,-0.043,-0.114,-0.21,-0.164,-0.187,-0.117,0.77,0.005,-0.018,-0.0243,-0.0121,-0.0166
27-May-12,0.074,0.233,0.3,0.198,0.177,0.262,-1.47,0.014,-0.015,-0.0111,-0.0083,-0.0211
20-May-12,-0.059,0.068,-0.056,0.052,0.096,-0.057,1.66,-0.011,-0.001,0.0298,0.0083,0.0056
13-May-12,0.026,0.135,0.24,0.094,0.071,0.295,-0.65,-0.007,0.003,0.0156,0.0266,0.0083
6-May-12,0.036,0.042,0.203,0.066,0.057,0.015,0.93,-0.021,0.026,0.0256,0.0134,0.0177
29-Apr-12,0.004,0.122,0.125,0.121,0.067,-0.028,-0.11,-0.005,0.013,0.0083,0.0166,0.0158
22-Apr-12,0.044,0.046,0.152,0.007,-0.029,0.185,0.42,-0.015,0.027,0.0111,0.0172,0.0292
15-Apr-12,0.011,-0.135,0.053,0.018,-0.077,0.055,1.29,0.011,-0.003,-0.0141,-0.0032,-0.0092
8-Apr-12,0.042,0.12,0.18,0.008,0.142,0.09,-0.63,0.008,0.004,-0.0278,-0.0146,-0.0004
1-Apr-12,-0.002,0.045,0.027,0.061,-0.019,-0.045,0.71,-0.002,-0.004,0.0038,0.0019,-0.007
25-Mar-12,0.04,0.075,0.208,0.074,0.075,0.155,1.17,0.001,-0.001,0.0127,0.0248,0.004
18-Mar-12,0.018,0.168,0.028,0.18,0.06,-0.02,-0.47,0,0.001,-0.0145,-0.0071,0.0119
11-Mar-12,-0.055,-0.292,-0.233,-0.256,-0.235,-0.11,1.11,-0.006,0.005,-0.0023,-0.0098,0.013
4-Mar-12,-0.002,-0.013,0.097,0.005,-0.05,0.085,-1,-0.001,-0.004,-0.0169,-0.0061,-0.0022
26-Feb-12,-0.012,-0.065,0.018,0.084,0.064,-0.015,-0.65,-0.002,0.009,0.0161,0.0089,0.0163
19-Feb-12,-0.028,0.113,-0.07,0.044,0.036,-0.14,-0.82,0.011,0.007,0.0051,0.0254,-0.0036
12-Feb-12,0.032,-0.06,0.02,-0.001,-0.005,-0.065,-1.47,-0.004,-0.002,-0.0051,-0.0305,0.0012
5-Feb-12,-0.029,0.062,-0.322,0.011,-0.041,-0.175,-1.85,0.006,-0.007,-0.0098,0.0023,-0.0048
29-Jan-12,0.017,-0.125,0.137,-0.078,-0.022,0.14,-1.1,-0.009,0.009,0.0074,-0.0032,0.0113
22-Jan-12,0.013,0.044,-0.025,0.065,0.071,-0.075,0.11,0.008,-0.012,-0.0079,0.0084,-0.0123
15-Jan-12,-0.033,-0.135,-0.02,-0.155,-0.136,-0.005,0.3,0.012,-0.018,-0.0163,-0.029,-0.0167
8-Jan-12,0.03,0.052,0.012,0.083,0.012,-0.035,-0.03,0.01,-0.013,-0.0252,-0.026,-0.0172
1-Jan-12,0.004,-0.049,-0.132,-0.029,0.006,0.02,0.05,0.005,-0.013,0.0115,0.0043,-0.0085
25-Dec-11,-0.011,0.061,0.07,0.128,0.069,0.025,-0.03,-0.008,-0.002,0.0103,0.0228,-0.0002
18-Dec-11,0.007,0.019,-0.087,-0.088,-0.146,-0.04,1.11,0,-0.004,0.0054,0.0094,-0.0078
11-Dec-11,0.035,0.106,0.052,0.28,0.197,0.1,-0.29,0.018,-0.014,-0.0071,-0.0007,-0.0179
4-Dec-11,0.051,0.132,0.202,-0.01,0.052,0.165,-0.25,-0.019,0.015,0.014,0.034,0.0247
27-Nov-11,-0.043,0.006,-0.159,0.136,-0.004,-0.105,0.49,0,0.001,-0.0066,0.0028,-0.0002
20-Nov-11,-0.08,-0.048,0.162,-0.302,0.02,-0.06,-0.28,0.031,-0.038,-0.0145,-0.0169,-0.0509
13-Nov-11,0.025,0.035,0.095,-0.091,0.008,0.27,-0.79,-0.022,0.017,0.0342,0.0277,0.0294
6-Nov-11,0.019,0.028,0.18,-0.048,0.023,0.175,0.17,-0.015,0.03,0.0279,0.0242,0.0277
30-Oct-11,0.055,0.311,0.26,0.369,0.291,0.19,1.11,0.006,0.008,-0.0038,0.0043,0.0098
23-Oct-11,-0.034,-0.086,-0.098,-0.082,-0.083,0.08,-2.41,-0.027,0.029,0.0089,0.0352,0.0327
16-Oct-11,0.007,0.067,-0.027,0.09,0.032,-0.05,0.47,0.015,-0.019,-0.0167,-0.0252,-0.0329
9-Oct-11,-0.031,-0.144,-0.185,-0.202,-0.163,-0.11,0.93,0.003,0.002,-0.0134,-0.0019,-0.0028
2-Oct-11,0.044,-0.044,-0.015,-0.117,-0.083,-0.035,-0.49,0.03,-0.036,-0.026,-0.05,-0.0574
25-Sep-11,-0.046,-0.049,-0.235,-0.138,-0.08,-0.185,0.33,0.011,-0.009,0.0024,0.0009,-0.0107
18-Sep-11,0.023,0.114,0.21,0.11,0.224,0.23,-0.45,-0.022,0.016,-0.0117,0.0112,0.0115
11-Sep-11,-0.001,-0.218,0.033,-0.083,-0.182,0.04,0.19,-0.05,0.053,0.0322,0.0302,0.0583
4-Sep-11,0.056,0.179,0.149,0.236,0.184,0.065,0.78,0.019,-0.007,0.0093,-0.0147,0.0113
28-Aug-11,-0.021,0.054,-0.007,0.139,0.094,-0.065,-0.78,-0.011,0.026,0.0336,0.0552,0.0171
21-Aug-11,-0.054,-0.119,-0.17,-0.04,-0.096,-0.09,-0.17,-0.004,-0.007,0.0155,0.0294,-0.0073
14-Aug-11,0.057,0.158,0.177,0.222,0.169,0.03,-0.08,0.008,-0.023,0.0089,-0.0101,-0.0171
7-Aug-11,-0.037,0.173,0.143,0.026,0.168,0.115,0.14,-0.003,0.014,-0.0184,-0.0149,-0.0046
31-Jul-11,0.07,0.154,0.285,0.185,0.149,0.365,1.71,-0.005,0.011,0.0114,0.0033,0.0086
24-Jul-11,0.018,0.246,0.165,0.275,0.143,0.19,-1.65,-0.026,0.036,0.0029,0.0114,0.0553
17-Jul-11,-0.012,-0.033,-0.045,-0.119,-0.044,-0.14,1.78,-0.007,-0.014,-0.0118,-0.004,-0.0149
10-Jul-11,0.092,0.108,0.272,0.123,0.079,0.14,0.59,0.005,-0.019,-0.0166,-0.0203,-0.02
3-Jul-11,-0.03,0.22,0.046,0.229,0.161,0.03,1.52,0.008,-0.008,-0.0078,0.0117,0.011
26-Jun-11,-0.036,-0.274,-0.171,-0.212,-0.26,-0.16,0.19,-0.003,-0.01,0.0018,0.0255,0.0022
19-Jun-11,0.008,0.066,0.013,0.113,0.08,-0.02,-0.4,0.03,-0.017,-0.0117,-0.0332,-0.028
12-Jun-11,0.015,0.025,0.087,0.01,0.064,0.09,-0.37,-0.009,0.002,0.0237,0.0118,0.0134
5-Jun-11,0.001,0.06,0.06,0.094,-0.014,0.035,0.27,0,0.008,0.0039,0.0037,-0.0097
29-May-11,-0.014,0.007,0,-0.069,0.067,-0.005,-0.05,-0.002,-0.006,0.0193,0.0289,0.0181
22-May-11,0.007,0.059,0.065,0.073,0.084,0.05,0.52,-0.002,0.004,0.0079,-0.0313,-0.0015
15-May-11,-0.006,0.018,0.038,0.02,0.048,0.095,0.91,-0.002,-0.023,-0.0279,-0.0169,-0.0042
8-May-11,0.013,0.016,0.047,0.098,0,0.005,-0.92,-0.006,-0.01,-0.0031,-0.0034,-0.0085
1-May-11,0.071,0.1,0.033,0.056,0.018,0.195,-0.16,-0.003,0.005,0.0172,0.0189,0.0114
24-Apr-11,0.011,0.05,0.083,0.033,0.078,0.21,0.6,-0.021,0.019,0.0334,0.0492,0.028
17-Apr-11,0.068,0.07,0.089,0.11,0.015,0.115,0.61,0.01,-0.008,-0.0194,-0.0246,-0.0227
10-Apr-11,0.038,0.212,0.025,0.108,0.138,-0.02,1.29,0.005,-0.003,-0.0188,-0.0124,-0.0173
3-Apr-11,-0.038,-0.082,-0.105,-0.102,-0.077,-0.07,1.59,-0.004,-0.017,0.0062,0.0049,-0.0004
27-Mar-11,-0.068,-0.131,-0.094,-0.112,-0.115,-0.09,-0.66,0.008,-0.015,-0.027,-0.025,-0.0173
20-Mar-11,-0.007,-0.089,-0.06,-0.079,-0.082,-0.075,-2.73,0.017,-0.014,-0.0076,-0.0147,-0.013
13-Mar-11,0.073,0.117,0.069,0.012,0.106,0.075,-0.72,0.004,-0.022,0.02,0.0095,-0.0294
6-Mar-11,0.017,0.088,0.123,0.078,0.059,0.03,1.31,-0.013,0.013,-0.0157,-0.027,0.0178
27-Feb-11,-0.053,-0.015,-0.043,-0.139,-0.042,-0.095,0.36,0,-0.005,0.0194,0.0076,0.0001
20-Feb-11,0.063,0.103,0.09,0.107,0.176,0.095,-0.59,0.006,0.012,-0.0156,-0.0234,0.0029
13-Feb-11,-0.004,0.058,0.053,0.037,0.009,0.015,1.37,0.008,0.011,0.0124,-0.0054,-0.0028
6-Feb-11,-0.024,-0.048,-0.005,-0.028,-0.02,-0.115,0.38,0.001,-0.001,-0.0238,-0.0148,-0.0122
30-Jan-11,-0.064,-0.16,-0.198,-0.096,-0.212,-0.01,-1.26,0.001,0.008,0.0096,0.0037,0.0109
23-Jan-11,-0.007,0.044,0.161,0.012,0.112,0.08,-0.06,0.012,0.004,-0.0239,0.0028,-0.02
16-Jan-11,-0.01,-0.085,-0.125,-0.142,-0.083,-0.06,0.47,-0.006,-0.015,0.014,0.0004,-0.0042
9-Jan-11,0.003,-0.113,0.072,-0.176,-0.09,0.24,0.36,-0.004,0.008,-0.014,-0.0241,0.0003
2-Jan-11,-0.088,-0.108,-0.065,0.09,-0.068,0.11,0.09,0.002,-0.006,-0.0304,-0.0458,0.007
26-Dec-10,0.042,0.115,0.14,0.032,0.049,-0.01,-1.87,0.006,0.019,0.0043,0.046,0.0252
19-Dec-10,0.046,0.049,-0.085,0.042,0.024,0.01,1.72,0.011,-0.031,-0.0158,-0.0261,-0.0169
12-Dec-10,-0.004,-0.042,0.027,-0.077,0.118,-0.11,1.08,0.006,-0.012,0.0092,0.0064,-0.0159
5-Dec-10,0.01,-0.101,-0.142,-0.073,-0.118,-0.04,-0.03,-0.004,0.012,0.0282,0.0052,-0.0033
28-Nov-10,-0.015,-0.072,0.03,-0.136,-0.07,-0.065,-1.3,-0.006,0.019,-0.0039,0.0181,0.007
21-Nov-10,-0.107,0.046,0.025,-0.026,0.018,0.005,1.47,0.017,-0.017,-0.0184,-0.0172,-0.0279
14-Nov-10,-0.085,-0.186,-0.158,-0.208,-0.112,-0.24,-0.64,-0.002,0.028,0.0392,0.0443,0.0218
7-Nov-10,-0.072,-0.226,-0.112,-0.082,-0.17,-0.12,-0.96,-0.009,-0.004,0.015,0.0008,0.0002
31-Oct-10,0.004,0.094,-0.042,0.103,-0.051,-0.07,-1.24,-0.009,0.023,0.0043,0.034,0.0295
24-Oct-10,-0.055,-0.119,-0.03,-0.048,-0.065,-0.135,-0.88,0.018,-0.031,-0.0139,-0.0084,-0.0325
17-Oct-10,0,-0.01,-0.073,-0.117,0.053,-0.045,0.98,0.007,-0.02,-0.0354,0.0002,-0.0009
10-Oct-10,-0.02,-0.069,-0.055,-0.104,-0.1,0.06,0.08,-0.016,0.009,0.0307,0.0027,0.008
3-Oct-10,0.105,0.09,0.01,0.038,0.102,-0.09,0.47,0.001,0,-0.0028,-0.0036,-0.0059
26-Sep-10,0.045,0.084,0.025,0.05,0.068,0.11,1.3,0.009,-0.011,-0.0148,-0.0151,-0.0131
19-Sep-10,0.072,0.072,0.035,0.107,0.075,0.15,0.98,0.004,-0.011,0.0004,-0.0301,-0.0128
12-Sep-10,0.083,0.006,-0.133,-0.041,0.036,0.12,1.66,0.009,-0.008,-0.0192,-0.0443,-0.0227
5-Sep-10,-0.019,-0.122,-0.112,-0.063,-0.028,-0.12,-1.69,0.004,0.003,-0.0278,-0.0368,-0.0097
29-Aug-10,-0.136,-0.1,-0.06,-0.179,-0.072,-0.155,0.14,0.002,-0.007,0.0097,0.0216,-0.01
22-Aug-10,-0.08,0.067,0.095,0.111,0.053,0.015,0.91,0.012,-0.01,0.0074,-0.0131,-0.0175
15-Aug-10,0.055,0.152,0.135,0.113,0.057,0.08,0.4,-0.004,-0.004,0.0012,-0.0057,-0.0049
8-Aug-10,0.081,0.105,0.13,0.134,0.093,0.12,0.57,-0.005,-0.001,0.0064,0.0044,-0.0013
1-Aug-10,-0.004,0.104,0.04,0.147,0.036,-0.02,-0.68,-0.015,0.028,0.0349,0.0533,0.0254
25-Jul-10,0.013,0.099,-0.01,0.025,0.118,0.075,0.96,0.002,-0.007,-0.0263,-0.0237,-0.0141
18-Jul-10,0.021,-0.099,-0.078,-0.074,-0.074,-0.01,1,0.006,0.001,-0.0248,-0.0141,-0.0086
11-Jul-10,0.073,0.003,0.013,0.008,0.072,0.045,-0.86,0.022,-0.017,-0.0145,0.0026,-0.0266
4-Jul-10,-0.061,0.021,-0.02,-0.051,-0.125,-0.03,2,-0.025,0.001,-0.0226,-0.0296,0.0086
27-Jun-10,0.042,0.022,0.135,0.021,0.088,0.075,-0.84,0.03,-0.023,0.0136,-0.0074,-0.0359
20-Jun-10,0.06,0.164,0.115,0.132,0.134,0.035,1.45,-0.027,0.026,-0.0135,-0.0186,0.0332
13-Jun-10,0.026,-0.071,0.027,-0.15,0.078,-0.005,1.48,-0.014,-0.007,-0.0237,0.001,-0.0028
6-Jun-10,0.036,0.028,0.045,0.002,-0.114,0.095,0.94,0.011,-0.017,-0.0284,-0.0274,-0.0218
30-May-10,-0.012,0.089,0.006,0.1,0.011,-0.05,0.28,0.03,-0.019,-0.0082,-0.0137,-0.0269
23-May-10,-0.014,-0.04,-0.02,-0.021,0.064,0.07,-0.85,-0.009,0.009,0.0003,0.0294,0.0242
16-May-10,0.05,0.217,0.102,0.198,0.076,0.175,-1.04,0.005,-0.001,0.0002,0.0303,-0.0151
9-May-10,-0.007,0.058,-0.048,-0.097,0.077,-0.005,2.45,-0.024,0.029,0.0072,-0.021,0.0533
2-May-10,0.001,0.092,0.243,0.2,0.132,0.12,-0.89,0.007,0.007,0.0263,0.0399,0.0023
25-Apr-10,0.035,0.13,0.08,0.103,0.045,0.01,2.24,-0.025,0.013,0.0468,0.0536,0.0365
18-Apr-10,0.025,-0.059,0.03,0.025,-0.017,0.01,0.1,-0.018,-0.01,0.0108,0.0088,0.0031
11-Apr-10,0.045,0.062,-0.01,0.065,-0.028,0.06,-1.76,0.013,-0.009,-0.0019,0.0113,-0.0032
4-Apr-10,-0.032,-0.123,-0.048,-0.059,-0.096,-0.025,1.01,-0.01,0.007,0.0015,0,0.0086
28-Mar-10,0.022,0.111,-0.029,0.057,0.007,0.025,1.43,0.008,-0.01,-0.0166,0.0005,-0.0137
21-Mar-10,-0.018,-0.086,-0.088,-0.047,-0.07,-0.1,-2.11,0.016,-0.003,-0.0306,-0.0091,-0.0153
14-Mar-10,-0.017,0.149,0.02,0.069,0.052,-0.04,-1.96,-0.01,0.005,0.0109,0.0121,0.0113
7-Mar-10,-0.036,-0.029,-0.215,-0.019,-0.071,-0.12,-0.07,0.001,-0.007,0.0173,0.0228,-0.0001
28-Feb-10,-0.005,-0.031,0.045,-0.052,-0.083,0.035,-0.16,0.012,-0.005,-0.0049,-0.014,-0.0081
21-Feb-10,0.031,0.24,0.13,0.168,0.108,0.1,-1.44,0.023,0.001,0.0114,0.0004,-0.0121
14-Feb-10,-0.007,-0.242,-0.067,-0.089,-0.039,-0.015,2.74,-0.013,0.002,0.0224,-0.001,0.0035
7-Feb-10,0.031,-0.144,-0.1,-0.071,-0.099,0.005,-1.58,0.011,-0.003,0.0215,0.0002,-0.0112
31-Jan-10,-0.034,0.013,-0.013,0.085,-0.008,0.07,-0.69,0.018,-0.009,-0.0054,0.0046,-0.0197
24-Jan-10,0.005,0.013,0.04,0.019,0.022,0.02,0.97,0.001,0.014,0.0368,0.0199,0.0169
17-Jan-10,-0.005,0.025,0.138,0.048,0.121,0.035,-0.4,-0.012,0.009,0.0107,0.0275,0.0162
10-Jan-10,0.039,0.125,0.117,0.114,0.106,0.065,0.88,-0.029,0.028,0.0153,0.0247,0.0224
3-Jan-10,-0.078,-0.057,-0.02,0.02,0.011,0.05,1.85,0.001,-0.001,-0.0235,0.0028,0.0014
27-Dec-09,-0.014,-0.017,-0.068,-0.105,-0.01,-0.045,0.39,0.022,-0.011,0.0143,-0.0087,-0.0274
20-Dec-09,-0.04,-0.219,-0.217,-0.157,-0.181,-0.05,-1.84,-0.002,-0.02,-0.0207,0.0071,-0.0123
13-Dec-09,0.049,0.074,0.13,0.081,-0.031,0.07,-0.88,0.016,0.005,0.018,-0.0054,0.0059
6-Dec-09,0.004,-0.146,-0.135,0.009,-0.069,-0.125,-1.25,-0.006,0.014,0.0107,0.028,0.0214
29-Nov-09,-0.04,-0.158,-0.21,-0.047,-0.093,-0.045,1.38,-0.002,-0.009,0.0199,0.0227,0.0037
22-Nov-09,0.065,0.086,0.23,0.079,0.157,0.075,-4.01,0.004,-0.006,0.0017,0.0117,-0.009
15-Nov-09,0.035,0.167,0.158,0.133,0.087,0.105,2.51,0.008,0.014,0.0042,-0.0105,0.0087
8-Nov-09,0.1,0.079,0.064,-0.039,0.049,-0.34,0.78,-0.019,0.02,0.0181,0.0055,0.0179
1-Nov-09,-0.035,-0.263,-0.052,-0.114,-0.098,-0.02,0.2,0.024,-0.018,-0.0069,-0.0068,-0.0147
25-Oct-09,-0.05,0.054,0.195,0.096,0.086,0.12,0.18,0.01,-0.008,-0.0173,-0.0131,-0.0195
18-Oct-09,-0.035,-0.069,-0.12,-0.064,0.013,-0.11,1.96,-0.031,0.036,-0.0141,0.0285,0.0231
11-Oct-09,-0.04,-0.153,-0.402,-0.061,-0.006,-0.21,-1.17,-0.017,-0.013,0.005,-0.0097,-0.0059
4-Oct-09,-0.035,-0.009,-0.091,-0.081,-0.252,-0.01,-1.11,0.006,-0.007,-0.052,-0.0176,-0.0126
27-Sep-09,0.05,0.168,0.108,0.137,0.098,0.08,0.03,0.037,-0.018,0.0103,-0.0158,-0.0387
20-Sep-09,0.04,0.134,0.077,0.102,0.034,0.04,-0.16,0.012,0.003,0.0015,0.0116,0.003
13-Sep-09,-0.035,-0.133,0.008,-0.13,-0.076,-0.08,1.64,-0.022,-0.01,0.0316,0.0022,-0.0006
6-Sep-09,0.02,0.003,0.13,-0.006,0.058,0.08,-0.57,0.008,-0.002,0.0392,-0.014,-0.0039
30-Aug-09,-0.015,-0.047,-0.085,0.024,0.018,0.06,2.3,0.011,-0.02,-0.0269,-0.0277,-0.0129
23-Aug-09,0,0.068,0.015,0.057,0.092,0.06,0.62,0.003,-0.003,-0.0125,0.0006,-0.0087
16-Aug-09,0.06,0.034,0.258,0.001,-0.011,0.145,0.74,-0.011,-0.001,0.0238,0.0024,-0.0073
9-Aug-09,0.062,0.136,0.015,0.188,0.139,-0.045,0.56,0.017,-0.005,0.0034,-0.0118,-0.0021
2-Aug-09,-0.017,0.002,-0.028,-0.2,-0.156,-0.105,2.63,-0.017,-0.006,0.0142,-0.0017,0.0045
26-Jul-09,-0.04,0.158,0.093,0.171,0.093,0.02,-2.89,-0.003,-0.01,0.0038,0.0062,-0.0018
19-Jul-09,-0.055,-0.155,-0.243,-0.069,-0.059,-0.055,0.12,0.009,-0.006,-0.0291,-0.0045,-0.018
12-Jul-09,-0.04,-0.076,-0.145,-0.148,-0.215,-0.09,-0.61,0.027,-0.011,-0.01,-0.0106,-0.015
5-Jul-09,0.04,0.006,0.135,0.079,0.077,0.17,-1.65,0.05,-0.017,-0.013,-0.0166,-0.0236
28-Jun-09,0.08,-0.053,0.145,0.059,0.044,0.23,3.5,-0.003,0.002,0.014,0.0031,0.0183
21-Jun-09,0.04,0.119,0.213,0.116,0.122,0.04,-0.79,-0.008,0.016,0.0182,0.009,0.0103
14-Jun-09,0.07,0.178,-0.195,0.121,-0.011,-0.05,1.02,-0.017,-0.003,-0.0016,-0.0111,-0.0011
7-Jun-09,-0.01,-0.078,0.032,0.104,-0.07,-0.07,2.14,-0.017,0.001,-0.0062,0.0081,0.006
31-May-09,-0.01,-0.166,-0.235,-0.125,-0.02,-0.2,0.25,0,-0.017,-0.0465,-0.0049,-0.019
24-May-09,-0.06,-0.012,-0.092,-0.078,-0.153,-0.02,-3.34,-0.028,0.015,0.0205,0.0179,0.0079
17-May-09,0.02,-0.194,-0.368,-0.17,-0.165,-0.33,-0.54,0.029,-0.02,-0.0248,-0.016,-0.0184
10-May-09,0,0.199,0.065,0.068,0.064,0.28,0.43,0.058,-0.035,-0.0772,-0.0498,-0.034
